Year,N_devices,Absorber_H_bits,Absorber_top1_frac,Top_material,Top_material_share
2013,226,0.537,0.912,MAPbI,0.912
2014,1543,0.709,0.911,MAPbI,0.911
2015,3532,0.715,0.915,MAPbI,0.915
2016,6211,1.683,0.782,MAPbI,0.782
2017,8028,2.257,0.683,MAPbI,0.683
2018,10621,2.850,0.582,MAPbI,0.582
2019,10561,3.250,0.468,MAPbI,0.468
