Target,Units,Training,MAE,nMAE
Bandgap,eV,Old,0.06559335238794103,4.231829186318776
Bandgap,eV,Mixed,0.04371562933758486,2.8203631830699907
PCE,%,Old,6.488140178568374,33.22140388411865
PCE,%,Mixed,4.633946044888122,23.72732229845428
