n,mae_old,mae_old_std,mae_mixed,mae_mixed_std
100,0.0670054422731347,0.006882905317303103,0.06808370027565643,0.007572912340725832
250,0.06920443444926647,0.009784938703140468,0.0600221397652981,0.005838667831971573
500,0.06290443138977206,0.002993613008026364,0.04932954306509964,0.0038129001822678065
1000,0.05865601105027883,0.003944411891263615,0.051946628144054006,0.002732509871896484
2000,0.05606201557837283,0.006138707793387072,0.04660959632469845,0.002504544474623251
3000,0.06280230013530388,0.0041133557554382805,0.04502997391830345,0.0021003651586763363
5000,0.06179962395132378,0.0038746074153889675,0.04421687287572153,0.001554667099578875
10000,0.06537785884783227,0.0037745674017762134,0.04404071239547972,0.0010392357922842214
15000,0.06559335238794103,0.002392903722676057,0.04304105528432843,0.0006912110422987726
